No,Dataset,Path,URL
1,Cyberbullying_Bahasa_Indonesia-Kaggle-CitaTiaraHanni,./Cyberbullying_Bahasa_Indonesia-Kaggle-CitaTiaraHanni/DATASET CYBERBULLYING INSTAGRAM - FINAL.csv,Cyberbullying Bahasa Indonesia
2,cyberbullying_dataset-Huggingface-aditdwi123,./cyberbullying_dataset-Huggingface-aditdwi123/sentiment_data.csv,aditdwi123/cyber-bullying-dataset at main
3,dataset_komentar_instagram_cyberbullying-github-rizalespe,./dataset_komentar_instagram_cyberbullying-github-rizalespe/dataset_komentar_instagram_cyberbullying.csv,Dataset-Sentimen-Analisis-Bahasa-Indonesia/dataset_komentar_instagram_cyberbullying.csv at master · rizalespe/Dataset-Sentimen-Analisis-Bahasa-Indonesia · GitHub
4,dataset_luqyana,./Luqyana-Dataset/dataset_1.4k_clean_luqyana.csv,https://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/3051
